A,B,C,D,E,F,G,H,I,J,K,L,M
3.00E+00,0.00E+00,4.05E+01,0.00E+00,2.00E+00,1.45E+01,0.00E+00,0.00E+00,3.00E+00,8.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.31E+00,0.00E+00,1.00E+00,0.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,5.10E+01,0.00E+00,1.00E+00,6.14E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,1.60E+01,0.00E+00,0.00E+00,7.73E+00,2.00E+00,2.00E+00,3.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.50E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.66E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,8.00E+00,2.00E+00,6.95E+01,0.00E+00,4.00E+00,3.00E+00,8.00E+00,0.00E+00,1.10E+01,0.00E+00
3.00E+00,0.00E+00,4.40E+01,0.00E+00,1.00E+00,1.61E+01,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,4.00E+01,0.00E+00,0.00E+00,1.58E+01,0.00E+00,3.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.60E+01,0.00E+00,0.00E+00,7.78E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.70E+01,0.00E+00,0.00E+00,8.66E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.00E+00,4.00E+00,1.00E+00,3.97E+01,0.00E+00,4.00E+00,3.00E+00,7.00E+00,0.00E+00,6.00E+00,0.00E+00
3.00E+00,0.00E+00,9.00E+00,0.00E+00,2.00E+00,2.05E+01,0.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,1.00E+00,2.97E+01,0.00E+00,1.00E+00,5.50E+01,0.00E+00,3.00E+00,1.00E+00,6.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,4.50E+01,1.00E+00,4.00E+00,2.79E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,6.00E+00,0.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,2.59E+01,0.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,5.65E+01,0.00E+00,1.00E+00,1.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,6.10E+01,0.00E+00,0.00E+00,3.35E+01,0.00E+00,0.00E+00,1.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,4.00E+00,4.00E+00,1.00E+00,2.91E+01,2.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,6.00E+00,0.00E+00
3.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.11E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.10E+01,0.00E+00,0.00E+00,7.92E+00,0.00E+00,1.00E+00,3.00E+00,1.70E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,5.60E+01,0.00E+00,0.00E+00,3.07E+01,1.00E+00,1.00E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.80E+01,1.00E+00,1.00E+00,7.85E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,3.00E+00,1.00E+00,2.55E+01,0.00E+00,4.00E+00,0.00E+00,4.00E+00,0.00E+00,5.00E+00,0.00E+00
1.00E+00,1.00E+00,5.00E+01,0.00E+00,0.00E+00,2.87E+01,1.00E+00,2.00E+00,0.00E+00,8.00E+00,1.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,8.00E+00,2.00E+00,6.95E+01,0.00E+00,2.00E+00,3.00E+00,8.00E+00,0.00E+00,1.10E+01,0.00E+00
2.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,1.51E+01,1.00E+00,1.00E+00,3.00E+00,1.30E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,9.00E+00,4.00E+00,2.00E+00,3.14E+01,0.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
2.00E+00,0.00E+00,1.00E+00,2.00E+00,1.00E+00,3.90E+01,0.00E+00,4.00E+00,2.00E+00,6.00E+00,1.00E+00,4.00E+00,0.00E+00
3.00E+00,1.00E+00,4.00E+00,0.00E+00,2.00E+00,2.20E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,5.00E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,1.00E+00,0.00E+00,1.55E+01,2.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,4.50E+01,0.00E+00,0.00E+00,2.66E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,4.00E+01,1.00E+00,1.00E+00,1.55E+01,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,3.60E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,3.20E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.90E+01,1.00E+00,0.00E+00,7.85E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,0.00E+00,3.00E+00,1.00E+00,1.00E+00,2.60E+01,0.00E+00,4.00E+00,2.00E+00,6.00E+00,1.00E+00,3.00E+00,0.00E+00
1.00E+00,1.00E+00,4.40E+01,0.00E+00,0.00E+00,2.77E+01,1.00E+00,3.00E+00,0.00E+00,8.00E+00,2.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,5.80E+01,0.00E+00,0.00E+00,1.47E+02,1.00E+00,2.00E+00,0.00E+00,8.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,4.20E+01,0.00E+00,1.00E+00,8.40E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,2.40E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,2.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,9.50E+00,0.00E+00,0.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,8.00E+00,2.00E+00,6.95E+01,0.00E+00,1.00E+00,3.00E+00,8.00E+00,0.00E+00,1.10E+01,0.00E+00
3.00E+00,0.00E+00,3.40E+01,0.00E+00,0.00E+00,6.50E+00,0.00E+00,1.00E+00,3.00E+00,7.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,4.55E+01,0.00E+00,0.00E+00,7.22E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.00E+00,0.00E+00,1.00E+00,1.05E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,3.20E+01,1.00E+00,0.00E+00,1.58E+01,0.00E+00,1.00E+00,3.00E+00,7.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.60E+01,0.00E+00,0.00E+00,1.88E+01,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.60E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,4.00E+01,0.00E+00,0.00E+00,3.10E+01,1.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,7.05E+00,0.00E+00,1.00E+00,3.00E+00,1.80E+01,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,3.50E+01,0.00E+00,0.00E+00,2.10E+01,0.00E+00,2.00E+00,0.00E+00,1.20E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,7.25E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,1.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,1.00E+00,3.10E+01,1.00E+00,0.00E+00,1.13E+02,1.00E+00,2.00E+00,3.00E+00,5.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.70E+01,0.00E+00,0.00E+00,7.92E+00,0.00E+00,2.00E+00,3.00E+00,1.60E+01,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,4.20E+01,1.00E+00,0.00E+00,2.70E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,1.00E+00,3.20E+01,0.00E+00,0.00E+00,7.63E+01,1.00E+00,2.00E+00,1.00E+00,5.00E+00,2.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,0.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.60E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.50E+01,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,2.70E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,5.10E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,2.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,3.80E+01,1.00E+00,0.00E+00,9.00E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,9.35E+00,0.00E+00,1.00E+00,0.00E+00,7.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.05E+01,0.00E+00,0.00E+00,7.25E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,3.00E+00,1.00E+00,2.55E+01,0.00E+00,2.00E+00,0.00E+00,4.00E+00,0.00E+00,5.00E+00,0.00E+00
1.00E+00,1.00E+00,3.50E+01,1.00E+00,0.00E+00,8.35E+01,0.00E+00,3.00E+00,3.00E+00,5.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.90E+01,0.00E+00,0.00E+00,7.78E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,5.90E+01,0.00E+00,0.00E+00,1.35E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,5.00E+00,4.00E+00,2.00E+00,3.14E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
2.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.55E+00,0.00E+00,2.00E+00,0.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,4.40E+01,1.00E+00,0.00E+00,2.60E+01,0.00E+00,1.00E+00,2.00E+00,5.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,8.00E+00,0.00E+00,2.00E+00,2.63E+01,0.00E+00,2.00E+00,3.00E+00,1.00E+01,0.00E+00,3.00E+00,0.00E+00
2.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,2.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.30E+01,0.00E+00,0.00E+00,1.23E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,1.00E+00,0.00E+00,1.45E+01,1.00E+00,2.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,1.00E+00,0.00E+00,1.55E+01,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,0.00E+00,2.90E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,0.00E+00,1.10E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,7.13E+00,0.00E+00,1.00E+00,3.00E+00,1.70E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,7.22E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,4.40E+01,2.00E+00,0.00E+00,9.00E+01,2.00E+00,5.00E+00,1.00E+00,5.00E+00,1.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,2.50E+01,0.00E+00,0.00E+00,7.78E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,2.40E+01,0.00E+00,2.00E+00,1.45E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,0.00E+00,3.70E+01,1.00E+00,1.00E+00,5.26E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,2.00E+00,3.00E+00,0.00E+00
2.00E+00,0.00E+00,5.40E+01,1.00E+00,0.00E+00,2.60E+01,0.00E+00,5.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.25E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.90E+01,1.00E+00,1.00E+00,1.05E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,0.00E+00,6.20E+01,0.00E+00,0.00E+00,2.66E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.00E+01,1.00E+00,0.00E+00,1.61E+01,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,4.10E+01,0.00E+00,2.00E+00,2.02E+01,0.00E+00,3.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,2.90E+01,0.00E+00,2.00E+00,1.52E+01,1.00E+00,3.00E+00,2.00E+00,4.00E+00,0.00E+00,3.00E+00,0.00E+00
1.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.92E+01,1.00E+00,3.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.00E+01,0.00E+00,0.00E+00,8.65E+01,0.00E+00,2.00E+00,1.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.50E+01,0.00E+00,0.00E+00,5.12E+02,1.00E+00,2.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,5.00E+01,0.00E+00,1.00E+00,2.60E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.00E+00,4.00E+00,2.00E+00,3.14E+01,0.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
1.00E+00,0.00E+00,5.20E+01,1.00E+00,1.00E+00,7.97E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,2.00E+00,3.00E+00,0.00E+00
1.00E+00,0.00E+00,4.00E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.60E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.60E+01,4.00E+00,1.00E+00,3.97E+01,0.00E+00,1.00E+00,3.00E+00,7.00E+00,0.00E+00,6.00E+00,0.00E+00
3.00E+00,0.00E+00,2.50E+01,1.00E+00,0.00E+00,7.78E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,1.00E+00,5.80E+01,0.00E+00,1.00E+00,1.53E+02,0.00E+00,3.00E+00,0.00E+00,8.00E+00,1.00E+00,2.00E+00,0.00E+00
1.00E+00,1.00E+00,3.50E+01,0.00E+00,0.00E+00,1.36E+02,0.00E+00,2.00E+00,0.00E+00,8.00E+00,1.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,3.10E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.50E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,4.10E+01,0.00E+00,1.00E+00,1.95E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,3.70E+01,0.00E+00,1.00E+00,2.97E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,6.30E+01,1.00E+00,0.00E+00,7.80E+01,0.00E+00,2.00E+00,1.00E+00,5.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,4.50E+01,0.00E+00,0.00E+00,7.75E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,7.00E+00,4.00E+00,1.00E+00,2.91E+01,2.00E+00,4.00E+00,3.00E+00,6.00E+00,0.00E+00,6.00E+00,0.00E+00
3.00E+00,1.00E+00,3.50E+01,1.00E+00,1.00E+00,2.03E+01,0.00E+00,3.00E+00,3.00E+00,9.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,6.50E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,7.85E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.60E+01,0.00E+00,0.00E+00,9.50E+00,0.00E+00,0.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,2.60E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.30E+01,0.00E+00,0.00E+00,8.66E+00,1.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.00E+01,0.00E+00,0.00E+00,9.50E+00,0.00E+00,0.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,4.20E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.20E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.60E+01,0.00E+00,0.00E+00,7.88E+01,0.00E+00,2.00E+00,1.00E+00,5.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,1.90E+01,1.00E+00,0.00E+00,9.11E+01,1.00E+00,3.00E+00,1.00E+00,5.00E+00,2.00E+00,2.00E+00,0.00E+00
2.00E+00,0.00E+00,3.60E+01,0.00E+00,0.00E+00,1.29E+01,1.00E+00,1.00E+00,3.00E+00,1.30E+01,2.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.40E+01,0.00E+00,0.00E+00,8.85E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,2.77E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.35E+01,0.00E+00,0.00E+00,7.23E+00,1.00E+00,1.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.52E+02,0.00E+00,2.00E+00,1.00E+00,6.00E+00,1.00E+00,4.00E+00,0.00E+00
1.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,3.05E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,1.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,5.00E+01,0.00E+00,1.00E+00,2.48E+02,1.00E+00,3.00E+00,0.00E+00,8.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,2.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,2.00E+00,0.00E+00,2.33E+01,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,1.23E+01,2.00E+00,2.00E+00,2.00E+00,6.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,8.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,9.20E-01,1.00E+00,2.00E+00,1.52E+02,0.00E+00,4.00E+00,1.00E+00,6.00E+00,1.00E+00,4.00E+00,0.00E+00
